RnnSize,EmbSize,RnnLayer,Epochs,Alpha,Eval,Run,Result
128,200,2,150,0.1,Precision,1,0.5940
128,200,2,150,0.1,Recall,1,0.5038
128,200,2,150,0.1,F1,1,0.5144
128,200,2,150,0.1,Precision,2,0.5851
128,200,2,150,0.1,Recall,2,0.4995
128,200,2,150,0.1,F1,2,0.5082
256,50,2,150,0.1,Precision,1,0.5793
256,50,2,150,0.1,Recall,1,0.4854
256,50,2,150,0.1,F1,1,0.4961
256,50,2,150,0.1,Precision,2,0.5778
256,50,2,150,0.1,Recall,2,0.4951
256,50,2,150,0.1,F1,2,0.5034
256,100,2,150,0.1,Precision,1,0.5811
256,100,2,150,0.1,Recall,1,0.4722
256,100,2,150,0.1,F1,1,0.4881
256,100,2,150,0.1,Precision,2,0.5786
256,100,2,150,0.1,Recall,2,0.4667
256,100,2,150,0.1,F1,2,0.4836
256,200,1,150,0.1,Precision,1,0.5902
256,200,1,150,0.1,Recall,1,0.5276
256,200,1,150,0.1,F1,1,0.5279
256,200,1,150,0.1,Precision,2,0.5930
256,200,1,150,0.1,Recall,2,0.5174
256,200,1,150,0.1,F1,2,0.5218
256,200,2,150,0.1,Precision,1,0.5819
256,200,2,150,0.1,Recall,1,0.4981
256,200,2,150,0.1,F1,1,0.5059
256,200,2,150,0.1,Precision,2,0.5906
256,200,2,150,0.1,Recall,2,0.5005
256,200,2,150,0.1,F1,2,0.5105
256,200,3,150,0.1,Precision,1,0.5766
256,200,3,150,0.1,Recall,1,0.4894
256,200,3,150,0.1,F1,1,0.4994
256,200,3,150,0.1,Precision,2,0.5823
256,200,3,150,0.1,Recall,2,0.4797
256,200,3,150,0.1,F1,2,0.4931
512,200,2,150,0.1,Precision,1,0.5900
512,200,2,150,0.1,Recall,1,0.5081
512,200,2,150,0.1,F1,1,0.5145
512,200,2,150,0.1,Precision,2,0.5863
512,200,2,150,0.1,Recall,2,0.4955
512,200,2,150,0.1,F1,2,0.5051
256,200,1,150,0.15,Precision,1,0.5911
256,200,1,150,0.15,Recall,1,0.5309
256,200,1,150,0.15,F1,1,0.5311
256,200,1,150,0.15,Precision,2,0.5867
256,200,1,150,0.15,Recall,2,0.5148
256,200,1,150,0.15,F1,2,0.5190
256,200,1,150,0.2,Precision,1,0.5913
256,200,1,150,0.2,Recall,1,0.5333
256,200,1,150,0.2,F1,1,0.5324
256,200,1,150,0.2,Precision,2,0.5900
256,200,1,150,0.2,Recall,2,0.5265
256,200,1,150,0.2,F1,2,0.5277
