,RnnSize,EmbSize,RnnLayer,Epochs,Alpha,Eval,Result mean,Result std
0,128,200,2,150,0.1,F1,0.51,0.0
1,128,200,2,150,0.1,Precision,0.59,0.01
2,128,200,2,150,0.1,Recall,0.5,0.0
3,256,50,2,150,0.1,F1,0.5,0.01
4,256,50,2,150,0.1,Precision,0.58,0.0
5,256,50,2,150,0.1,Recall,0.49,0.01
6,256,100,2,150,0.1,F1,0.49,0.0
7,256,100,2,150,0.1,Precision,0.58,0.0
8,256,100,2,150,0.1,Recall,0.47,0.0
9,256,200,1,150,0.1,F1,0.52,0.0
10,256,200,1,150,0.1,Precision,0.59,0.0
11,256,200,1,150,0.1,Recall,0.52,0.01
12,256,200,1,150,0.15,F1,0.53,0.01
13,256,200,1,150,0.15,Precision,0.59,0.0
14,256,200,1,150,0.15,Recall,0.52,0.01
15,256,200,1,150,0.2,F1,0.53,0.0
16,256,200,1,150,0.2,Precision,0.59,0.0
17,256,200,1,150,0.2,Recall,0.53,0.0
18,256,200,2,150,0.1,F1,0.51,0.0
19,256,200,2,150,0.1,Precision,0.59,0.01
20,256,200,2,150,0.1,Recall,0.5,0.0
21,256,200,3,150,0.1,F1,0.5,0.0
22,256,200,3,150,0.1,Precision,0.58,0.0
23,256,200,3,150,0.1,Recall,0.48,0.01
24,512,200,2,150,0.1,F1,0.51,0.01
25,512,200,2,150,0.1,Precision,0.59,0.0
26,512,200,2,150,0.1,Recall,0.5,0.01
