RnnSize,EmbSize,RnnLayer,Epochs,Alpha,Eval,Lang,Run,Result
256,200,1,150,0.2,Precision,English,1,0.5913
256,200,1,150,0.2,Recall,English,1,0.5333
256,200,1,150,0.2,F1,English,1,0.5324
256,200,1,150,0.2,Precision,English,2,0.5900
256,200,1,150,0.2,Recall,English,2,0.5265
256,200,1,150,0.2,F1,English,2,0.5277
256,200,1,150,0.2,Precision,German,1,0.5394
256,200,1,150,0.2,Recall,German,1,0.5266
256,200,1,150,0.2,F1,German,1,0.5293
256,200,1,150,0.2,Precision,German,2,0.5453
256,200,1,150,0.2,Recall,German,2,0.5422
256,200,1,150,0.2,F1,German,2,0.5408
256,200,1,150,0.2,Precision,French,1,0.7330
256,200,1,150,0.2,Recall,French,1,0.7105
256,200,1,150,0.2,F1,French,1,0.7183
256,200,1,150,0.2,Precision,French,2,0.7346
256,200,1,150,0.2,Recall,French,2,0.7187
256,200,1,150,0.2,F1,French,2,0.7243
256,200,1,150,0.2,Precision,Spanish,1,0.6215
256,200,1,150,0.2,Recall,Spanish,1,0.5229
256,200,1,150,0.2,F1,Spanish,1,0.5592
256,200,1,150,0.2,Precision,Spanish,2,0.6167
256,200,1,150,0.2,Recall,Spanish,2,0.5204
256,200,1,150,0.2,F1,Spanish,2,0.5568
256,200,1,150,0.2,Precision,Italian,1,0.6046
256,200,1,150,0.2,Recall,Italian,1,0.5699
256,200,1,150,0.2,F1,Italian,1,0.5821
256,200,1,150,0.2,Precision,Italian,2,0.5997
256,200,1,150,0.2,Recall,Italian,2,0.5674
256,200,1,150,0.2,F1,Italian,2,0.5790
256,200,1,150,0.2,Precision,Chinese,1,0.5941
256,200,1,150,0.2,Recall,Chinese,1,0.6295
256,200,1,150,0.2,F1,Chinese,1,0.6051
256,200,1,150,0.2,Precision,Chinese,2,0.6028
256,200,1,150,0.2,Recall,Chinese,2,0.6295
256,200,1,150,0.2,F1,Chinese,2,0.6096
256,200,1,150,0.2,Precision,Finnish,1,0.6064
256,200,1,150,0.2,Recall,Finnish,1,0.5098
256,200,1,150,0.2,F1,Finnish,1,0.5448
256,200,1,150,0.2,Precision,Finnish,2,0.6014
256,200,1,150,0.2,Recall,Finnish,2,0.5231
256,200,1,150,0.2,F1,Finnish,2,0.5521
